19:24; temperature; -6
19:24; pressure; 744
19:24; wind_speed; 20
19:24; temperature; -9
19:24; pressure; 739
19:24; wind_speed; 14
19:27; temperature; -7
19:27; pressure; 740
19:27; wind_speed; 16
19:46; temperature; -2
19:46; pressure; 723
19:46; wind_speed; 22
19:46; temperature; -5
19:47; temperature; -1
19:47; pressure; 721
19:47; wind_speed; 16
19:47; temperature; -6
19:47; pressure; 721
19:47; wind_speed; 23
19:48; temperature; -7
19:48; pressure; 750
19:48; wind_speed; 9
19:48; temperature; -14
19:48; pressure; 745
19:48; wind_speed; 9
19:49; temperature; -19
19:49; pressure; 746
19:49; wind_speed; 4
19:49; temperature; 0
19:49; pressure; 733
19:49; wind_speed; 11
19:53; temperature; -14
19:53; pressure; 738
19:53; wind_speed; 23
19:53; temperature; -9
19:53; pressure; 732
19:53; wind_speed; 2
19:55; temperature; -7
19:55; pressure; 730
19:55; wind_speed; 16
19:55; temperature; -4
19:55; pressure; 731
19:55; wind_speed; 18
19:55; temperature; -16
19:55; pressure; 733
19:55; wind_speed; 5
19:55; temperature; -6
19:55; pressure; 737
19:55; wind_speed; 21
21:26; temperature; -3
21:26; pressure; 721
21:26; wind_speed; 3
21:26; temperature; -15
21:26; pressure; 733
21:26; wind_speed; 11
21:27; temperature; -16
21:27; pressure; 723
21:27; wind_speed; 25
21:27; temperature; -9
21:27; pressure; 725
21:27; wind_speed; 3
12:08; temperature; -10
12:08; pressure; 728
12:08; wind_speed; 11
12:08; temperature; -2
12:08; pressure; 732
12:08; wind_speed; 27
